"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date"
"1","Android","Platforms, Software, Internet Services, Mobile","Palo Alto, California, United States","Was Acquired",,2003-10-01,226330,"Mobile, Linux, Search Engine",,4,,,0,,0,0,0,,,,,,,
"2","Area 1 Security","Information Technology, Privacy and Security","Redwood City, California, United States","Operating",,2013-01-01,15,"Network Security, Security, Cyber Security","11-50",3,3,2015-10-14,1.5e+07,"Series B",1.5e+07,25500000,25500000,11,5,,,,,
"3","Alpaca","Science and Engineering, Data and Analytics, Software, Financial Services, Lending and Investments","San Mateo, California, United States","Operating",,2015-02-18,22,"Machine Learning, Trading Platform, Artificial Intelligence, FinTech","11-50",3,5,2017-01-24,1750000,"Series Unknown",1750000,2798938,2994661,15,0,,,,,
"4","Adore Me","Consumer Goods, Design","New York, New York, United States","Operating",,2011-05-01,53,"Fashion, Lingerie, Women's","51-100",2,6,2017-01-20,0,"Secondary Market",0,11500000,11500000,14,0,,,,,
"5","Aceable","Commerce and Shopping, Education, Mobile","Austin, Texas, United States","Operating",,2012-10-01,40,"Mobile, Education, E-Commerce","11-50",1,3,2016-09-23,4e+06,"Series A",4e+06,8700000,8700000,8,3,,,,,
"6","AdStage","Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Internet Services, Advertising","San Francisco, California, United States","Operating",,2012-05-01,48,"Machine Learning, Software, SEO, Social Media, Enterprise Software, Search Engine, Advertising, Advertising Platforms, Internet","11-50",2,6,2016-09-19,2e+06,"Series A",2e+06,10750000,12250000,20,3,,,,,
"7","Avi Networks","Hardware, Information Technology, Data and Analytics, Internet Services","Santa Clara, California, United States","Operating",,2012-01-01,9,"Analytics, Cloud Infrastructure, Cloud Data Services","11-50",3,2,2014-08-01,20800000,"Series B",20800000,3.3e+07,3.3e+07,6,2,,,,,
"8","Aporeto","Information Technology, Government and Military, Privacy and Security","San Jose, California, United States","Operating",,2015-01-01,,"Cyber Security, Security, Government","1-10",3,1,2015-12-01,0,"Seed",0,0,0,2,0,,,,,
"9","AttackIQ","Information Technology, Privacy and Security","San Diego, California, United States","Operating",,2013-01-01,,"Network Security","11-50",1,4,2016-11-30,8800000,"Series A",8800000,16588694,16588694,6,0,,,,,
"10","Azitra","Health Care, Consumer Goods","Farmington, Connecticut, United States","Operating",,,,"Health Care, Alternative Medicine, Consumer Goods",,2,2,2017-04-05,2900000,"Series A",2900000,3250000,3250000,2,1,,,,,
