"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date","foundyear"
"1","Android","Platforms, Software, Internet Services, Mobile","Palo Alto, California, United States","Was Acquired","","2003-10-01",226330,"Mobile, Linux, Search Engine","",4,NA,"",0,"",0,0,0,NA,NA,"","","","","",-9
"24","Adways Inc.","Apps, Software, Sales and Marketing, Mobile, Advertising","Tokyo, Tokyo, Japan","IPO","","2001-02-28",1,"App Marketing, Apps, Advertising, Mobile","501-1000",0,1,"2010-12-31",17776000,"Post-IPO Equity",17776000,17776000,17776000,NA,NA,"TYO","2489","","","2006-06-30",-11
"50","Acarix","Health Care","Kongens Lyngby, Hovedstaden, Denmark","IPO","","2009-01-01",1,"Health Care","1-10",2,3,"2016-11-11",0,"Funding Round",0,4710966,4710966,7,5,"STO","ACARIX","kr405,281,817","kr140,000,000","2016-12-19",-3
"51","Adku","Commerce and Shopping, Data and Analytics, Software","San Francisco, California, United States","Was Acquired","","2010-08-01",23,"Big Data, E-Commerce, Enterprise Software","1-10",3,3,"2011-12-09",0,"Series Unknown",0,1540000,1540000,8,0,"","","","","",-2
"52","Akamon Entertainment","Gaming","Barcelona, Catalonia, Spain","Was Acquired","","2011-07-15",18,"Gaming, PC Games, Video Games","101-250",7,3,"2014-05-25",0,"Series A",0,5045650,5045650,5,2,"","","","","",-1
"63","anydooR","Education","Tokyo, Tokyo, Japan","Was Acquired","","2009-02-09",4,"Language Learning, B2B, Crowdsourcing","1-10",2,3,"2013-10-01",6e+05,"Seed",6e+05,1080000,1080000,6,0,"","","","","",-3
"67","Annapurna Labs","Hardware, Software, Internet Services","San Jose, California, United States","Was Acquired","","2011-01-01",57,"Data Storage, Cloud Computing, Cloud Storage","51-100",1,NA,"",0,"",0,0,0,NA,NA,"","","","","",-1
"98","ArtAdvisor Inc.","Media and Entertainment, Internet Services","New York, New York, United States","Was Acquired","","2015-01-01",NA,"Art, Internet","1-10",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",3
"104","atOnePlace.com","Real Estate","Noida, Uttar Pradesh, India","Was Acquired","","2006-06-26",1,"Commercial Real Estate, Real Estate","51-100",2,1,"2008-09-20",250000,"Angel",250000,250000,250000,NA,NA,"","","","","",-6
"118","Autonomos GmbH","Manufacturing, Hardware, Data and Analytics, Software, Design","Berlin, Berlin, Germany","Was Acquired","","2012-01-01",NA,"3D Technology, Sensor, Consumer Research, 3D Printing, Software","",0,NA,"",0,"",0,0,0,NA,NA,"","","","","",0
